rank,name,city_area,segment,score,confidence,why_it_fits,first_outreach_route,source
17,"Ciudad Celeste / Villa Club / La Joya / Villa del Rey macro corridor","Samborondon, Daule, La Aurora","Large urbanization ecosystem",88,High,"Large corridor publicly described as 97,300+ residents; massive guard, communication and maintenance market.","Developer groups, individual urbanization admins, admin agencies.","https://ciudadceleste.com/"
18,"La Maison Cuenca","Cuenca, Ordonez Lasso","Hotel-residential tower",87,High,"17-story hotel/residential building with exclusive residences; strong pre-opening/admin setup opportunity.","Uribe Schwarzkopf, La Maison sales.","https://uribeschwarzkopf.com/lamaison/"
19,"Mykonos","Manta, Barbasquillo","Beach/city condo building",87,High,"Listings show alicuotas, rentals, ocean views, beach access and security-style operations.","Building admin, Barbasquillo brokers, owner listings.","https://www.plusvalia.com/venta/departamentos/manabi/manta/barbasquillo/con-vista-al-mar"
20,"Poseidon","Manta, Barbasquillo","Hotel/condo beachfront",87,High,"Oceanfront apartments and hotel-style building; rental/investment traffic, reception, amenities and visitors.","Hotel/building admin, unit owners, brokers.","https://www.realtor.com/international/ec/barbasquillo-manabi-manabi-province-120092429331/"
21,"Kona Bay","Salinas, Chipipe","Beach apartment building",86,High,"Seven-floor luxury building, 35 units, rooftop, controlled elevator/card access, near beach.","Official project website and sales team.","https://edificiokonabay.com/"
22,"Qanvas","Quito, La Carolina","Premium residential/mixed-use",86,High,"Built La Carolina project with residences/offices; premium urban tower pilot.","Uribe Schwarzkopf/building admin.","https://uribeschwarzkopf.com/proyectos-quito/"
23,"Qapital","Quito, La Carolina","Premium project",86,High,"Kengo Kuma La Carolina residential project; pre-delivery onboarding opportunity.","Uribe Schwarzkopf sales/admin handoff.","https://uribeschwarzkopf.com/proyectos-quito/"
24,"Qondesa","Quito, La Carolina","Premium mixed-use residences",86,High,"MAD Architects project with residences/offices/commercial; ideal for structured owner/admin setup.","Uribe Schwarzkopf sales/admin handoff.","https://uribeschwarzkopf.com/proyectos-quito/"
25,"Oh Residencias","Quito/Cumbaya","Premium residences",85,High,"Delivered Cumbaya residential project; high-value residents and amenities.","Uribe Schwarzkopf delivered-building network.","https://uribeschwarzkopf.com/proyectos-quito/"
26,"YOO Quito","Quito, Gonzalez Suarez","Premium residences",85,High,"Delivered premium residential project in a high-income Quito sector.","Building lobby/admin, Uribe Schwarzkopf network.","https://uribeschwarzkopf.com/proyectos-quito/"
27,"YOO Cumbaya","Quito/Cumbaya","Premium residences",85,High,"Delivered Cumbaya mixed-use residential project; likely high expectations for service and amenities.","Building/admin network and brokers.","https://uribeschwarzkopf.com/proyectos-quito/"
28,"Aurora","Quito/Cumbaya","Premium residences",84,High,"Delivered/last-units Cumbaya residential project; useful in Cumbaya cluster campaign.","Uribe Schwarzkopf/brokers.","https://uribeschwarzkopf.com/proyectos-quito/"
29,"Botaniqo","Quito/Cumbaya","Premium residences",84,High,"In-construction Cumbaya residential project; good pre-launch operations sale.","Developer sales/admin handoff.","https://uribeschwarzkopf.com/proyectos-quito/"
30,"Porto Manta / Marina Blue","Manta","Gated coastal residential project",84,High,"Sustainable project within Marina Blue with homes and condos; gated/coastal owner community.","MLS/developer brokers, Marina Blue admin.","https://mls-ecuador.com/es/proyectos/homes-condos-ecuador__portomanta"
31,"San Marino Building","Manta, Playa Murcielago","Beachfront luxury building",83,Medium,"Listed as elegant beachfront luxury apartment building with private beach access.","Rent in Manta/property managers, building lobby/admin.","https://rentinmanta.com/buildings"
32,"Portomare Building","Manta, Playa Murcielago","Beachfront luxury building",83,Medium,"Listed as elegant beachfront luxury apartment building with long-term and limited short-term rentals.","Rent in Manta/property managers, building admin.","https://rentinmanta.com/buildings"
33,"El Navegante","Manta","Beachfront apartment building",82,Medium,"Oceanfront apartments, garage parking, 24h security, and holiday/weekend demand.","Property managers and lobby/admin.","https://rentinmanta.com/buildings"
34,"Bay View Apartments","Salinas, Chipipe","Beachfront apartments",82,High,"Frontline Chipipe apartment project with luxury finishes and developer history of beach buildings.","GeoBienes / ARENES S.A. project channel.","https://geobienes.com/proyectos/bay-view-apartments-frente-la-playa-de-chipipe"
35,"Bay Point Apartments","Salinas, San Lorenzo","Beachfront apartments",81,Medium,"Mentioned as delivered luxury beachfront project; verify direct admin.","Developer/project network.","https://geobienes.com/proyectos/bay-view-apartments-frente-la-playa-de-chipipe"
36,"Montecarlo","Salinas, San Lorenzo","Beachfront condo",81,Medium,"Listing cluster identifies Condominio Montecarlo on Malecon de San Lorenzo; good smaller condo target.","Broker/listing route, building lobby/admin.","https://www.realtor.com/international/ec/elite-tower-near-the-coast-and-oceanfront-apartment-for-sale-in-san-lorenzo-salinassan-lorenzo-salinas-salinas-santa-elena-province-120087364951/"
37,"Playa Almendro Resort","Tonsupa","Beach apartment/resort",81,Medium,"Vacation listings show apartment units with pool/amenities and family guest flow.","Resort/building administration, rental brokers.","https://ownerdirect.com/property/departamentos-frente-al-mar/BC-3642016"
38,"Playa Azul Resort","Tonsupa","Beach apartment/resort",80,Medium,"Vacation listing references oceanfront Playa Azul Resort in Tonsupa; likely guard/guest/amenity workflow.","Resort/admin and rental operators.","https://ownerdirect.com/property/departamentos-frente-al-mar/BC-3642016"
39,"Club del Pacifico","Tonsupa","Beach condo/apartment",80,Medium,"Vacation-rental evidence shows 3-bedroom apartment in Club del Pacifico with pool/parking style amenities.","Building admin/rental host route.","https://www.bedroomvillas.com/property/departamento-club-del-pac%C3%ADfico/AB-35225125"
40,"Iconic Tonsupa","Tonsupa","Beach apartment tower",80,Medium,"Plusvalia snippet describes 23-floor project with 1-3 bedroom apartments, commercial, parking and storage.","Listing broker/developer route.","https://www.plusvalia.com/venta/departamentos/ecuador/q-diamond-beach-tonsupa"
41,"Otero","Cuenca, San Sebastian / Tomebamba","Premium city residential",80,High,"70 apartments, 11 floors and rooftop; fits documents, alicuotas, amenities and maintenance workflows.","Luxe Home Projects / developer channel.","https://www.luxehomeprojects.com/proyectos/venta/cuenca"
42,"Torre de Mayo","Cuenca, Primero de Mayo","Premium city residential",79,High,"Luxury apartments with rooftop, jacuzzi, BBQ, gym, kids room and gardens.","Solbicon / broker developer channel.","https://solbicon.ec/propiedad/torre-de-mayo/"
43,"NOA","Cuenca, Ordonez Lasso","Mixed-use apartments/offices",78,High,"New suites/apartments/offices in high-value corridor; fit for building launch/admin setup.","Proyectos Ecuador / broker channel.","https://proyectosecuador.com/proyecto/noa-av-ordonez-lasso/"
44,"Plaza Santa Ana","Cuenca, Centro Historico","City residential",77,Medium,"New central residential project; verify building administrator and occupancy.","Listing broker route.","https://www.fazwaz.com.ec/departamento-en-venta/ecuador/azuay/cuenca/cuenca"
45,"AARU","Cuenca, Paucarbamba","City residential project",77,Medium,"Listed as project on Av. Paucarbamba with apartments and rooftop/garden style amenities.","Listing/developer verification.","https://www.fazwaz.com.ec/departamento-en-venta/ecuador/azuay/cuenca/cuenca"
46,"Riverside","Samborondon, Km 2.5","Gated residential project",77,High,"Project page says strategic high-plusvalia Samborondon location and security 24 hours.","Galjosa / project sales and urbanization admin.","https://galjosa.com/urbanizacion-riverside/"
47,"Vizcaya Plaza y Residencias 2","Samborondon / Ciudad Celeste","Apartments + mixed-use",77,High,"80 apartments plus offices/commercial, guardianía 24h, pool, jacuzzi, gym, kids areas, sports courts and BBQ zones.","Listing broker / project admin.","https://www.plusvalia.com/venta/departamentos/guayas/q-ciudad-celeste"
48,"Barranca Samborondon","Samborondon","Premium apartments",76,Medium,"Project page mentions 24h security, gas centralizado and high-comfort apartment buildings.","Trivo/project route.","https://trivo.com.ec/propiedades/barranca-samborondon/"
49,"Costa Brisa","Guayaquil, Via a la Costa","Apartments in urbanization",76,Medium,"Apartments available in urbanization; good guard/visitor/package fit if community is active.","Polibienes/listing route; verify admin.","https://polibienes.com/propiedad/departamentos-disponibles-en-urbanizacion-en-via-a-la-costa/"
50,"Casole","Samborondon-Daule","Residential project",75,High,"Uribe Schwarzkopf project in Samborondon-Daule corridor; useful as developer-handoff target.","Uribe Schwarzkopf sales/admin handoff.","https://uribeschwarzkopf.com/proyectos/"
51,"Ustay","Samborondon-Daule","Residential project",75,High,"Uribe Schwarzkopf last-units residential project in Samborondon-Daule corridor.","Developer and broker route.","https://uribeschwarzkopf.com/proyectos/"
52,"Santana Lofts","Guayaquil, Puerto Santa Ana","Urban apartment building",75,Medium,"Puerto Santa Ana listings reference Santana Lofts among Bellini/Riverfront/Spazio cluster.","Puerto Santa Ana brokers and building admin.","https://www.plusvalia.com/venta/departamentos/guayas/guayaquil/puerto-santa-ana/con-2-habitaciones/con-vista-a-la-ciudad"
53,"Riverfront","Guayaquil, Puerto Santa Ana","Urban apartment building",75,Medium,"Part of Puerto Santa Ana residential cluster; strong visitor/package/rental operations potential.","Building admin/brokers.","https://www.vrbo.com/7997214ha"
54,"Spazio","Guayaquil, Puerto Santa Ana","Urban tower",74,Medium,"Mentioned as part of Puerto Santa Ana/Ciudad del Rio cluster near Bellini and Riverfront.","Building admin/brokers.","https://www.vrbo.com/7997214ha"
55,"Amazonas Parc","Quito, La Mariscal","City residential",74,High,"Delivered/last-units Uribe Schwarzkopf residential/office project in La Mariscal.","Developer/building admin.","https://uribeschwarzkopf.com/proyectos-quito/"
56,"12 Parc","Quito, La Floresta","City residential",74,High,"Delivered La Floresta residential project; medium-sized urban pilot.","Developer/building admin.","https://uribeschwarzkopf.com/proyectos-quito/"
57,"Almar Punta Blanca","Punta Blanca","Beach apartments",73,Low,"Social evidence suggests beachfront apartment project; verify current status and administration before outreach.","Developer/social channel verification.","https://www.facebook.com/traversoyperez/videos/almar-punta-blanca/1042078176215430/"
58,"Playa Pelikano","Manta","New coastal condo project",72,Low,"Social/news evidence says new autosustainable condo project in Manta; verify official developer/contact.","Local developer/news route.","https://www.facebook.com/100064763736343/posts/manta-un-nuevo-condominio-se-levanta-en-manta-se-trata-de-playa-pelikano-el-prim/1262649739237139/"
59,"Playas Village","Playas Villamil","Beach homes/suites/apartments",72,Medium,"Official site sells houses, suites, and apartments with sea views; likely owners/investors.","Official sales team.","https://playasvillage.com/"
60,"Mar Azul 1","Playas / Via Data","Small beach condo",65,Medium,"Small 4-unit project, less scalable but easy pilot if accessible.","Developer/listing route.","https://www.properati.com.ec/proyecto/14032-32-e816-a76a32641479-a6f15b8d-bbc3-47f2"
