lead,segment,city,decision maker,contact info,status,last touch,next touch,pain signal,response,demo booked
"Unique","Premium city building","Quito, La Carolina","Building admin not public; discover via Uribe Schwarzkopf delivered-building/customer network and lobby","Uribe Schwarzkopf contact/ventas | onsite lobby/admin verification","Discovery needed - not sent","",2026-06-15,"Delivered premium tower, strong reference value and high owner density","",No
"La Maison Cuenca","Premium city building","Cuenca, Ordonez Lasso","Developer/project handoff via Uribe Schwarzkopf/La Maison","Uribe Schwarzkopf general/ventas | La Maison project page","Discovery needed - not sent","",2026-06-15,"17-story hotel-residential building, exclusive residences, launch/setup opportunity","",No
"Ciudad Celeste / Villa Club / La Joya / Villa del Rey corridor","Large city community","Samborondon / Daule / La Aurora","Individual urbanization admins and boards; discover via onsite administration, developer/admin agencies","Ciudad Celeste public site | onsite administration | ADMTOSCANO-style operators","Discovery needed - not sent","",2026-06-15,"Very large residential corridor, guards, visitors, resident communication, maintenance, alicuotas","",No
"Grand Bay Manta","Beach/vacation building","Manta, Barbasquillo","Developer/property manager or building admin after delivery; Ecuador Shores route for owner access","Sales@EcuadorShoresRealty.com | Ryan Kelly +593 96 866 3242 | Ecuador Shores Realty","Email sent - routing",2026-06-16,2026-06-19,"Resort condos, absentee owners, oceanfront amenities, HOA, rental/investment traffic","Sent to Sales@EcuadorShoresRealty.com asking for owner/admin route",No
"Ocean Club / Torre Mediterranea / Torre Atlantis","Beach/vacation building","Playas","Club/building administration, rental operators, owner groups","info@ocean.com.ec | Ocean Club Playas +593 99 943 7947 | public social channels","Email sent",2026-06-16,2026-06-19,"Private beach club, vacation apartments, guest flow, amenities","Sent to info@ocean.com.ec",No
"Karibao Resort Town","Beach/vacation community","Playas / Engabao","Pronobis/Karibao sales and resort administration","0989852222 | onsite sales room Km 7.5 via Playas-Engabao | https://pronobis.com.ec/proyectos/karibao/","Email sent - developer route",2026-06-16,2026-06-19,"Resort town, beach owners, amenities, security 24/7, investment use","Sent to infopronobis@pronobis.com.ec",No
"Elite Tower","Beach/vacation building","Salinas, San Lorenzo","Berriot Corp / project administration / building admin","ventas@berriotcorp.com | 0979844248 | https://berriotcorp.com/proyectos/elite-tower/","Email sent - developer route",2026-06-16,2026-06-19,"Oceanfront tower, controlled access, pool, gym, sauna, social areas","Sent to ventas@berriotcorp.com",No
"MarBlanco","Beach/vacation building","Punta Blanca / Salinas","Vintimilla Constructora / project administration","0998216124 | 0995574661 | https://www.vintimillaconstructora.com/marblanco","Email sent - developer route",2026-06-16,2026-06-19,"Punta Blanca second-home apartments, amenities, investment positioning","Sent to ventas1@micasa.ec",No
"Makana Resort","Beach/vacation building","Tonsupa","Resort/hotel admin and suite owner administration","Hotel direct +593 6-246-4464 | Makana public channels","Email sent - routing",2026-06-16,2026-06-19,"Hotel-condo/resort, reception, vacation guests, pools, beach","Sent to hugo.valladares.g@gmail.com from public Makana contact route",No
"Grand Diamond Beach / Diamond Beach","Beach/vacation building","Tonsupa","Diamond Developers / tower admin / reservation operators","cortesias@signaturetravelec.com | 0997015624 | Grand Diamond Beach public channels","Email sent - routing",2026-06-16,2026-06-19,"32-floor beachfront tower, resort amenities, vacation rentals","Sent to cortesias@signaturetravelec.com asking for building admin route",No
"Club Casablanca","Beach/vacation community","Same","Club/community administration and rental operators; direct admin not public in sources","Use club/owner rental route and onsite admin; Airbnb confirms large vacation-rental density","Discovery needed - not sent","",2026-06-15,"300+ Airbnb stays in area, pools, absentee owners, heavy vacation traffic","",No
"Mykonos","Beach/vacation building","Manta, Barbasquillo","Building admin not public; discover through Barbasquillo brokers and owner listings","Plusvalia/broker routes | onsite lobby/admin verification","Discovery needed - not sent","",2026-06-16,"Ocean views, alicuotas, rentals, beach access, security","",No
"Poseidon","Beach/vacation building","Manta, Barbasquillo","Hotel/building admin and unit owner routes","Hotel/building public channels plus broker listings","Discovery needed - not sent","",2026-06-16,"Hotel-condo beachfront, reception, visitors, packages, amenities","",No
